page,img_name,img_url,status,url
1,"Sama Townhouses, Town Square",https://assets.bayut.com/content/small_sama_townhouses_cover_090619_33cab4446d.jpg,Ready,/area-guides/sama-townhouses/
1,"Mulberry Mansions, JVC",https://assets.bayut.com/content/small_Mulberry_Mansions_Cover_photo_Body_9_31_3_23_1_1b80ce85a8.jpg,Ready,/area-guides/mulberry-mansions/
1,"District 16, Jumeirah Village Circle (JVC)",https://assets.bayut.com/content/small_district_16_jvc_cover_180719_6_18295f3beb.jpg,Ready,/area-guides/district-16/
1,"Marina Quays East, Dubai Marina",https://assets.bayut.com/content/small_marina_quays_east_dubai_marina_cover_050819_4_6788b2eecc.jpg,Ready,/area-guides/marina-quays-east/
1,"Hyati Avenue, Jumeirah Village Circle (JVC)",https://assets.bayut.com/content/small_hyati_avenue_jvc_cover_230719_1_ea8e4c9f75.jpg,Ready,/area-guides/hyati-avenue/
1,Al Khabisi,https://assets.bayut.com/content/small_Al_Khabisi_Cover_22_06_3869c83c8a.jpg,Ready,/area-guides/al-khabisi/
1,"Aknan Villas, DAMAC Hills 2",https://assets.bayut.com/content/small_aknan_villas_cover_160519_56812128b2.jpg,Ready,/area-guides/aknan-villas/
1,"Park Island, Dubai Marina",https://assets.bayut.com/content/small_park_island_dubai_marina_cover_050819_5_a6c6e37ea2.jpg,Ready,/area-guides/park-island/
1,"Marina Promenade, Dubai Marina",https://assets.bayut.com/content/small_marina_promenade_cover_dubai_marina_cover_050819_2_1558efb96b.jpg,Ready,/area-guides/marina-promenade/
1,"District 14, Jumeirah Village Circle (JVC)",https://assets.bayut.com/content/small_district_14_jvc_cover_230719_6_6d22985f10.jpg,Ready,/area-guides/district-14/
1,"Naseem, Mudon",https://assets.bayut.com/content/small_Naseem_Mudon_Cover_07_04_d20420d199.jpg,Ready,/area-guides/naseem/
1,Ibn Battuta Gate,https://assets.bayut.com/content/small_Cover_01_3f8e6e9fc9.jpg,Ready,/area-guides/ibn-battuta-gate/
1,Dubai Creek Club Villas,https://assets.bayut.com/content/small_dubai_creek_club_villas_cover_080819_fd94241d56.jpg,Ready,/area-guides/dubai-creek-club-villas/
1,"Sahara Villas, DAMAC Hills 2",https://assets.bayut.com/content/small_sahara_villas_akoya_oxygen_cover_040719_28e14834f9.jpg,Ready,/area-guides/sahara-villas/
1,"The Heart of Europe, World Islands",https://assets.bayut.com/content/small_The_Heart_of_Europe_Cover_18_03_c216e8d9c9.jpg,Ready,/area-guides/the-heart-of-europe/
2,"Business Village, Port Saeed",https://assets.bayut.com/content/small_Business_Village_Port_Saeed_15_8_22_010e76cac7.jpg,Ready,/area-guides/business-village/
2,"Al Quoz Industrial Area 1, Al Quoz",https://assets.bayut.com/content/small_Al_Quoz_Industrial_Area_1_eaf4e54638.jpg,Ready,/area-guides/al-quoz-industrial-area-1/
2,"Hawthorn, Akoya Oxygen",https://assets.bayut.com/content/small_Hawthorn_Akoya_Oxygen_17112020_85c39c9ff2.jpg,Ready,/area-guides/hawthorn-akoya-oxygen/
2,"Al Quoz Industrial Area 3, Dubai",https://assets.bayut.com/content/small_Al_Quoz_Industrial_Area_3_Al_Quoz_Dubai_a1fca9b342.jpg,Ready,/area-guides/al-quoz-industrial-area-3/
