,title,price,type,beds,studio,baths,area,location,handover,payment,offplan,verified_plan,agent_plan
156,Hot Deal | 2 Bedroom | Rented | Partial Sea View,"2,450,000",Apartment,2,,3,"1,302 sqft","Bonaire Tower, Park Island, Dubai Marina, Dubai",,,,,
157,Real Photos! High Floor! Great Investment!,"900,000",Hotel Apartment,,Studio,1,352 sqft,"Ciel Tower, Dubai Marina, Dubai",Q3 2024,,Off-Plan,on,TruBroker™
158,High-Floor | Marina & sea Views | Exclusive,"4,000,000",Apartment,2,,2,"1,190 sqft","Marina Shores, Dubai Marina, Dubai",Q4 2026,80/20,Off-Plan,on,
159,Exquisite Waterfront Living | Marina & Palm View,"5,200,000",Apartment,3,,4,"1,645 sqft","Marina Shores, Dubai Marina, Dubai",Q4 2026,80/20,Off-Plan,on,TruBroker™
160,Real Photos! Call for a Viewing Today!,"850,000",Hotel Apartment,,Studio,1,82 sqft,"Ciel Tower, Dubai Marina, Dubai",Q3 2024,,Off-Plan,on,TruBroker™
161,FULLY UPGRADED/GOLF COURSE VIEW/KITCHEN EQUIPPED,"1,800,000",Apartment,2,,3,"1,390 sqft","Sulafa Tower, Dubai Marina, Dubai",,,,,
162,2 bed + study / Partial Marina view / Mid floor,"3,060,000",Apartment,2,,3,"1,817 sqft","Trident Marinascape Oceanic Tower, Trident Marinascape, Dubai Marina, Dubai",,,,,
163,3 Bedrooms for Sale I Sea View | Modern Finish I Furnished,"4,500,000",Apartment,3,,4,"1,787 sqft","Silverene Tower A, Silverene, Dubai Marina, Dubai",,,,,
164,"FULL SEA VIEW, HIGH FLOOR , BRAND NEW","2,800,000",Apartment,2,,2,"1,610 sqft","Marina 101, Dubai Marina, Dubai",,,,,
165,Marina Pinnacle 2 BR Apartment (Vacant),"2,250,000",Apartment,2,,2,"1,216 sqft","Marina Pinnacle, Dubai Marina, Dubai",,,,,
166,2Bed + Study | Immediate Occupancy | Marina view,"1,900,000",Apartment,2,,2,"1,263 sqft","Marina Park, Dubai Marina, Dubai",,,,,TruBroker™
167,Final Floor | Final Units | Last Chance,"2,704,225",Apartment,1,,2,"1,176 sqft","Kempinski Marina Residences, Dubai Marina, Dubai",Q2 2028,55/45,Off-Plan,on,TruBroker™
